disney 0.0988317,0.0544457,-0.00190647,-0.00105576,-0.00570668,0.00305169,-0.00244951,0.00567423,0.000314417,0.00186674
told 0.118173,-0.0390476,-0.00432706,-0.00656315,0.0027511,-0.00223972,-0.00350094,-0.0100485,0.00677375,-0.00258422
deemed 0.0874815,0.0357553,-0.0179122,-0.0137592,0.0387113,-0.0234986,0.00766626,-0.00335512,-0.0169967,0.00971849
kicked 0.108293,-0.141512,-0.0230059,0.000274806,0.00417713,-0.0168567,0.0324096,-0.0140645,0.00878851,0.0127272
viewings 0.084286,0.0720623,-0.00870883,-0.0214805,-0.0108757,-0.00374994,0.00294147,0.0187489,-0.00854434,0.00602033
men 0.115646,-0.0157066,-0.000608095,0.00998531,0.00275079,-0.00305091,-0.00298772,0.00153749,-0.000465941,-0.00151621
here 0.111343,0.00901888,-0.00480026,0.00812822,-0.00417799,-0.00266882,0.00654241,-0.0031768,0.000211178,-0.00311962
nanny -0.0922148,0.400469,0.00955895,-0.0500008,-0.0380945,-0.0148291,0.0113472,0.0385654,0.0229352,0.0193057
dork -0.644802,0.634359,0.0227524,0.0605539,-0.0484788,-0.0172953,0.0904419,-0.0157891,-0.0454883,-0.0747433
kids 0.118801,-0.0429316,-0.0018186,-0.000195278,-0.00896825,0.00365217,0.00828806,0.000483317,0.000712886,0.001872
study 0.101988,-0.00734092,0.022584,0.00429581,0.0121356,-0.0195096,0.0070035,-0.0119709,0.0109328,-0.00411809
changed -0.301848,-0.483508,-0.176974,-0.177631,0.149847,0.267947,0.0664839,0.0560247,-0.151613,-0.0823067
controversy 0.0993802,0.0529192,-0.0149425,-0.00491216,0.00892659,-0.000152625,-0.00432408,-0.00411634,0.00854001,-0.00120832
jame -1.83007,-0.280995,0.0434248,-0.00482937,-0.00703953,-0.0235252,0.0472393,0.015506,-0.00264886,-0.0176194
hogwarts 0.110926,-0.0450604,-0.0204486,0.0296823,0.00301408,-0.00777254,-0.00259975,-0.01366,-0.0218267,-0.00727195
aka 0.0855071,0.108188,-0.0108181,0.00150841,-0.0016718,0.0054533,-0.0012849,0.00102557,0.00442417,-0.00865601
otters 0.0838518,0.0840591,-0.00487373,-0.00140957,0.0115166,-0.0136265,-0.00325799,0.00866074,0.00601821,0.026255
changes 0.0888766,-0.172591,0.00948749,-0.0239848,-0.0193203,-0.0129343,0.0476025,0.0166233,-0.00338324,-0.035356
campaign 0.0934897,0.0629473,0.00914185,0.00348177,-0.0140053,0.00824617,-0.00892784,-0.00290917,-0.0162521,0.00448884
blashpemies 0.124361,-0.118201,-0.0218358,0.00467005,-0.00590381,-0.000304878,-0.00809294,-0.000561591,-0.0101023,-0.00267101
julia 0.111416,-0.134454,0.0220209,-0.0120882,-0.00417758,-0.045865,-0.0100153,0.00111077,-0.0146707,-0.00862662
highly 0.108926,-0.137128,-0.00571975,0.0186238,0.00716736,-0.0215372,0.000388985,-0.00619814,0.00170348,0.010288
total 0.11641,-0.0317674,0.0141184,0.000637959,0.00375979,-0.00390872,-0.00626877,0.00251007,0.000189926,-0.00303277
plot 0.083943,0.0974892,-0.00400381,-0.00922889,-0.00411409,-0.00593644,0.00430327,-0.00339037,-0.0199107,0.00406604
spoke 0.112643,-0.183141,0.0282327,-0.0157935,-0.0173942,0.0231337,0.0121399,0.0293513,0.0256479,-0.0239137
would 0.0990959,0.065213,0.00121025,-0.000414942,-0.00106381,0.000889851,0.00299517,0.000468626,-0.00205955,-0.000633442
geisha -0.073372,-0.0534887,-0.00190464,0.0603439,-0.00755062,0.102252,0.0511766,0.0907038,0.0606655,-0.0379709
music 0.111633,-0.0185051,0.0176029,-0.0115453,0.0012616,-0.00598707,0.00324254,0.0118208,0.0197049,-0.0110647
type 0.0816874,0.0488149,-0.0157698,-0.0156581,0.0275423,-0.0355012,-0.00637409,-0.0109508,0.0174652,-0.0121255
until 0.0920884,0.082504,0.00591865,0.0101042,-0.00725029,-0.000215439,-0.00907294,0.00693473,-0.00698499,0.00941298
oscar 0.113776,-0.00731731,0.00763034,-0.000195798,0.0023364,-0.000413454,0.0045112,-0.00587975,-0.000927161,-0.000756843
yahoo 0.112125,-0.0224562,-0.000714608,-0.00833905,0.0242935,-0.00556147,-0.0220541,-0.0143095,-0.0102886,-0.00553226
award 0.111814,-0.03449,0.0260551,-0.00292323,0.000251458,-0.00311399,-0.0191157,-0.0157029,-0.00239495,-0.015846
phone 0.09763,0.0624704,-0.0144777,-0.00731356,-0.000356361,-0.00451722,-0.00232482,0.0109944,0.00569087,-0.00789279
adult 0.0874746,0.087158,-0.0118068,0.00824928,0.0198649,0.00913294,-0.00682275,0.010209,-0.00650553,-0.0209787
excellent -1.02088,0.791695,0.00118044,0.00558502,0.0105142,0.0130417,6.18175e-05,-0.00808478,-0.0140785,0.00570908
hold 0.0906569,0.0734256,0.00540831,0.00088864,-0.00154368,0.0100518,0.0100124,-0.00183701,-0.0185502,0.00281298
must 0.111592,0.00419917,-0.00667438,-0.00459882,-0.00502711,0.00126951,0.00855471,0.00357273,0.00259528,-0.000574142
me 0.0944802,0.0830279,0.00022645,0.000313045,0.000892107,0.00244002,-0.000152379,0.00153286,-0.0013499,0.00139249
enjoying -0.752882,-0.50626,0.179775,0.569525,-0.265991,0.14282,0.000360955,-0.0563112,0.0159388,0.0679016
word 0.111202,-0.00415412,-0.00137443,0.0044987,-0.00244986,0.00293692,0.00268683,0.0116045,0.00107749,0.00726782
room 0.115768,-0.0531958,-0.0102769,0.00221353,-0.0029971,0.011578,0.00256955,0.00104962,0.0146821,-0.0172724
work 0.0553057,-0.120232,-0.0466324,0.0739093,0.00183295,0.0240373,0.0301344,0.0167245,-0.0470026,-0.0319088
mi 0.105701,0.0294366,-0.00559905,-0.0039134,-0.000572149,-0.0105438,-0.00743292,0.0118228,-0.00772979,0.00994742
worth 0.0522491,0.191319,-0.0102221,-0.00226774,-0.0078782,0.0049759,-0.00615833,0.0126791,-0.00171539,0.0358662
movies 0.0530615,0.203365,-0.00150442,0.00128119,0.00136617,0.00241939,-0.000196825,0.00163374,0.00207169,0.00293397
erm -0.0580404,0.31607,0.00479815,0.019195,-0.00101958,-0.00611547,-0.0227126,0.0360162,0.0259341,-0.0139751
my 0.0904257,0.0974784,7.06688e-06,0.00195519,-0.000660711,0.000255457,0.00045429,0.000759651,-0.00142291,-0.000289436
example 0.124037,-0.142905,0.00481155,-0.00639501,-0.00543076,0.00488632,0.0125536,0.0128194,-0.00455013,-0.0132918
mindedness 0.101966,0.00504626,-0.00898241,0.00675387,0.004187,-0.0114003,-0.0181826,0.0222964,-0.0324001,-0.00991553
give 0.106985,0.0280188,-6.79349e-05,0.00186172,0.000584169,0.0089202,-0.00494084,0.011315,0.000173767,-0.00116531
dragons -0.082849,0.356527,0.0501913,-0.0248659,0.0239821,0.0178983,-0.00533521,-0.00306153,0.012892,0.03101
involve 0.106072,-0.00139736,0.00150499,0.0320679,0.00965003,-8.05361e-05,-0.016506,-0.0195797,-0.00376716,-0.0244458
want 0.109467,0.0187685,-0.00125903,-1.63733e-05,0.000135881,-0.00134858,0.00143402,-0.00236628,0.00171687,-0.00181705
times 0.0989215,0.0640523,0.0078104,0.000763307,0.00183897,0.00226945,0.004394,0.00364876,-0.001646,0.00135227
absolute 0.0838047,0.103425,-4.40949e-05,-0.00352326,0.00132553,0.00925595,-0.00495439,0.0216891,0.0057625,0.00926828
end 0.0921278,0.081536,0.00593926,0.000507831,0.00879917,-0.00333895,0.00204885,0.0015566,0.00479482,-0.00583846
turn 0.0991572,-0.0569416,0.0305406,0.0043854,0.00653969,-0.0074675,-0.0166375,0.00240866,0.00550774,-0.00373476
travel -0.415606,-0.551149,0.156239,-0.107545,-0.033272,-0.273056,-0.0513438,-0.0061197,0.184406,-0.046205
song 0.104213,-0.353405,-0.0212055,-0.0287707,-0.0356319,-0.00221004,-0.0245772,-0.017591,0.00685009,-0.0172505
machine 0.115123,-0.158008,-0.0393089,-0.00515313,0.0129133,0.0108253,-0.0042562,0.00311454,0.00337113,-0.00141756
how 0.0750102,0.145541,-0.00129097,-0.00113052,-0.000485466,0.00419817,-0.000701398,0.00461029,-0.00218465,0.00197477
amazing 0.0517057,0.20365,-0.00258667,0.0015935,0.00724162,0.00188065,-0.0110397,-0.00188245,-0.00932381,-0.00198585
writers 0.0905397,-0.078813,0.0365061,0.0495715,0.00847946,-0.000392698,-0.0136125,0.0511506,-0.00755582,-0.00952573
aching 0.118482,-0.0651761,0.00210518,-0.00313595,0.013089,-0.0155112,0.00590922,-0.0129627,-0.00320562,-0.00724068
